[2019-11-22 15:06:10] INFO  WEBrick 1.4.2
[2019-11-22 15:06:10] INFO  ruby 2.5.1 (2018-03-29) [x86_64-linux-gnu]
[2019-11-22 15:06:10] INFO  WEBrick::HTTPServer#start: pid=395 port=80
143.255.242.174 - - [22/Nov/2019:15:07:50 +0000] "GET / HTTP/1.1" 200 1574 0.3111
58.6.232.105 - - [22/Nov/2019:15:24:10 +0000] "GET / HTTP/1.1" 200 1574 0.0036
52.20.243.242 - - [22/Nov/2019:15:28:26 +0000] "GET / HTTP/1.1" 200 1574 0.0035
45.32.1.185 - - [22/Nov/2019:15:32:28 +0000] "GET /TP/public/index.php HTTP/1.1" 404 562 0.0091
45.32.1.185 - - [22/Nov/2019:15:32:28 +0000] "GET /TP/index.php HTTP/1.1" 404 562 0.0057
45.32.1.185 - - [22/Nov/2019:15:32:28 +0000] "GET /thinkphp/html/public/index.php HTTP/1.1" 404 562 0.0061
45.32.1.185 - - [22/Nov/2019:15:32:28 +0000] "GET /html/public/index.php HTTP/1.1" 404 562 0.0047
45.32.1.185 - - [22/Nov/2019:15:32:28 +0000] "GET /public/index.php HTTP/1.1" 404 562 0.0052
45.32.1.185 - - [22/Nov/2019:15:32:28 +0000] "GET /TP/html/public/index.php HTTP/1.1" 404 562 0.0052
45.32.1.185 - - [22/Nov/2019:15:32:28 +0000] "GET /elrekt.php HTTP/1.1" 404 562 0.0049
45.32.1.185 - - [22/Nov/2019:15:32:29 +0000] "GET /index.php HTTP/1.1" 404 562 0.0052
45.32.1.185 - - [22/Nov/2019:15:32:29 +0000] "GET / HTTP/1.1" 200 1574 0.0060
