[2019-11-15 01:11:51] INFO  WEBrick 1.5.0
[2019-11-15 01:11:51] INFO  ruby 2.5.1 (2018-03-29) [x86_64-linux-gnu]
[2019-11-15 01:11:51] INFO  WEBrick::HTTPServer#start: pid=395 port=80
173.249.49.151 - - [15/Nov/2019:01:31:42 +0000] "GET / HTTP/1.1" 200 1574 0.1419
173.208.201.58 - - [15/Nov/2019:01:33:55 +0000] "GET /TP/public/index.php HTTP/1.1" 404 562 0.0064
173.208.201.58 - - [15/Nov/2019:01:33:55 +0000] "GET /TP/index.php HTTP/1.1" 404 562 0.0052
173.208.201.58 - - [15/Nov/2019:01:33:55 +0000] "GET /thinkphp/html/public/index.php HTTP/1.1" 404 562 0.0046
173.208.201.58 - - [15/Nov/2019:01:33:55 +0000] "GET /html/public/index.php HTTP/1.1" 404 562 0.0049
173.208.201.58 - - [15/Nov/2019:01:33:55 +0000] "GET /public/index.php HTTP/1.1" 404 562 0.0046
173.208.201.58 - - [15/Nov/2019:01:33:55 +0000] "GET /TP/html/public/index.php HTTP/1.1" 404 562 0.0049
173.208.201.58 - - [15/Nov/2019:01:33:56 +0000] "GET /elrekt.php HTTP/1.1" 404 562 0.0047
173.208.201.58 - - [15/Nov/2019:01:33:56 +0000] "GET /index.php HTTP/1.1" 404 562 0.0043
173.208.201.58 - - [15/Nov/2019:01:33:56 +0000] "GET / HTTP/1.1" 200 1574 0.0044
93.119.161.131 - - [15/Nov/2019:01:37:43 +0000] "GET / HTTP/1.1" 200 1574 0.0040
80.211.159.230 - - [15/Nov/2019:02:07:19 +0000] "GET / HTTP/1.1" 200 1574 0.0084
